,SEQN,ACD011A,ACD011B,ACD011C,ACD040,ACD110
210,62465.0,1.0,,,,
211,62467.0,1.0,,,,
212,62471.0,1.0,,,,
213,62472.0,1.0,,,,
214,62473.0,1.0,,,,
215,62474.0,1.0,,,,
216,62475.0,1.0,,,,
217,62476.0,1.0,,,,
218,62479.0,,,,,1.0
219,62480.0,1.0,,,,
220,62481.0,,,,3.0,
221,62482.0,1.0,,,,
222,62484.0,1.0,,,,
223,62485.0,1.0,,,,
224,62486.0,1.0,,,,
225,62487.0,,,,4.0,
226,62491.0,,,,,1.0
227,62494.0,,,,3.0,
228,62495.0,1.0,,,,
229,62497.0,1.0,,,,
230,62498.0,,,,4.0,
231,62500.0,1.0,,,,
232,62501.0,1.0,,,,
233,62502.0,1.0,,,,
234,62504.0,,,,1.0,
235,62506.0,,,,1.0,
236,62507.0,,,,4.0,
237,62509.0,1.0,,,,
238,62510.0,1.0,,,,
239,62512.0,,,,,1.0
240,62513.0,,,,2.0,
241,62514.0,1.0,,,,
242,62515.0,,,,2.0,
243,62517.0,,,9.0,,
244,62518.0,,,,,4.0
245,62519.0,1.0,,,,
246,62521.0,1.0,,,,
247,62522.0,1.0,,,,
248,62523.0,1.0,,,,
249,62524.0,1.0,,,,
250,62525.0,,,,,4.0
251,62526.0,,,,2.0,
252,62527.0,1.0,,,,
253,62528.0,,,,1.0,
254,62529.0,1.0,,,,
255,62530.0,1.0,,,,
256,62531.0,1.0,,,,
257,62532.0,1.0,,,,
258,62534.0,1.0,,,,
259,62536.0,,,,,4.0
260,62539.0,1.0,,,,
261,62541.0,1.0,,,,
262,62544.0,1.0,,,,
263,62546.0,,,,4.0,
264,62548.0,,,,1.0,
265,62549.0,,,,,1.0
266,62551.0,1.0,,,,
267,62552.0,1.0,,,,
268,62554.0,,,,,3.0
269,62555.0,1.0,,,,
270,62556.0,,,,,1.0
271,62558.0,1.0,,,,
272,62560.0,1.0,,,,
273,62563.0,1.0,,,,
274,62564.0,1.0,,,,
275,62565.0,,,,,1.0
276,62567.0,1.0,,,,
277,62569.0,1.0,,,,
278,62571.0,1.0,,,,
279,62572.0,1.0,,,,
280,62573.0,1.0,,,,
281,62574.0,1.0,,,,
282,62575.0,1.0,,,,
283,62576.0,,,,1.0,
284,62577.0,1.0,,,,
285,62579.0,,,,1.0,
286,62580.0,1.0,,,,
287,62583.0,1.0,,,,
288,62584.0,1.0,,,,
289,62585.0,1.0,,,,
290,62586.0,1.0,,,,
291,62587.0,1.0,,,,
292,62588.0,1.0,,,,
293,62589.0,1.0,,,,
294,62593.0,1.0,,,,
295,62595.0,1.0,,,,
296,62596.0,,,,,1.0
297,62597.0,1.0,,,,
298,62598.0,1.0,,,,
299,62599.0,1.0,,,,
300,62601.0,1.0,,,,
301,62602.0,1.0,,,,
302,62603.0,,,,2.0,
303,62604.0,1.0,,,,
304,62608.0,,,,5.0,
305,62610.0,,,,1.0,
306,62611.0,,,,,1.0
307,62612.0,,,,,1.0
308,62613.0,1.0,8.0,,,
309,62614.0,1.0,,,,
310,62616.0,,,,,1.0
311,62619.0,1.0,,,,
312,62621.0,1.0,,,,
313,62622.0,,,,,5.0
314,62623.0,1.0,,,,
315,62624.0,,,,,3.0
316,62625.0,,,,5.0,
317,62626.0,,,,3.0,
318,62630.0,1.0,,,,
319,62631.0,1.0,,,,
320,62632.0,,,,,5.0
321,62633.0,,,,,5.0
322,62634.0,1.0,,,,
323,62635.0,,,,,1.0
324,62636.0,1.0,,,,
325,62639.0,,,,1.0,
326,62640.0,1.0,,,,
327,62642.0,1.0,,,,
328,62644.0,1.0,,,,
329,62645.0,,,,,5.0
330,62646.0,1.0,,,,
331,62648.0,,,,,1.0
332,62649.0,1.0,,,,
333,62650.0,1.0,,,,
334,62651.0,1.0,,,,
335,62652.0,,,,3.0,
336,62653.0,,,,,1.0
337,62658.0,1.0,,,,
338,62659.0,,,,,4.0
